Demographics- race of respondent (PTDTRACE),Total,No Response,Refused,Don't Know,Not in Universe,Yes,No
Hawaiian/Pacific Islander Only,6596,0,0,0,3361,0,3235
White-Black,152268,18570,15923,9814,60555,36476,10930
White-AI,4143,4143,0,0,0,0,0
White-Asian,15228,0,0,0,0,15228,0
White-HP,0,0,0,0,0,0,0
Black-AI,0,0,0,0,0,0,0
Black-Asian,2772,0,0,0,0,2772,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Michigan,8018205,1045555,195622,80864,549703,4991907,1154554
White only,6437014,825603,130256,51479,320929,4139730,969017
Black only,1064894,152886,35709,21085,78030,629679,147505
"American Indian, Alaskan Native Only",88349,13484,11396,0,6408,51769,5292
Asian only,284978,39010,13398,4397,139127,66467,22579
Hawaiian/Pacific Islander Only,5229,0,0,0,0,5229,0
White-Black,49361,0,0,0,5209,38943,5209
White-AI,39490,14572,0,0,0,24918,0
White-Asian,17366,0,4863,0,0,12503,0
White-HP,0,0,0,0,0,0,0
Black-AI,16386,0,0,3903,0,12483,0
Black-Asian,4952,0,0,0,0,0,4952
Black-HP,0,0,0,0,0,0,0
AI-Asian,5538,0,0,0,0,5538,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,4648,0,0,0,0,4648,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Minnesota,4472171,311767,17321,40360,330900,3224094,547729
White only,3848480,272549,10876,37212,172275,2915060,440508
Black only,268973,23327,6445,0,71296,130449,37456
"American Indian, Alaskan Native Only",72926,0,0,0,5369,31078,36479
Asian only,182816,15891,0,3148,67604,74222,21951
Hawaiian/Pacific Islander Only,11830,0,0,0,3910,7920,0
White-Black,23812,0,0,0,6072,17740,0
White-AI,24579,0,0,0,0,21288,3291
White-Asian,12727,0,0,0,0,12727,0
White-HP,0,0,0,0,0,0,0
Black-AI,8542,0,0,0,4374,4168,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,17486,0,0,0,0,9442,8044
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Mississippi,2291712,172584,7108,26210,113949,1530921,440940
White only,1383171,106937,4486,18564,47670,920340,285174
Black only,834965,61584,2622,7646,45577,574433,143103
"American Indian, Alaskan Native Only",7068,0,0,0,0,7068,0
Asian only,38508,4063,0,0,18324,8112,8009
Hawaiian/Pacific Islander Only,0,0,0,0,0,0,0
White-Black,11079,0,0,0,0,8060,3019
White-AI,12476,0,0,0,2378,8463,1635
White-Asian,1673,0,0,0,0,1673,0
White-HP,0,0,0,0,0,0,0
Black-AI,0,0,0,0,0,0,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,1293,0,0,0,0,1293,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,1479,0,0,0,0,1479,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Missouri,4840495,477541,97724,55518,366205,2988912,854595
White only,4029139,359933,77125,31804,215379,2575436,769462
Black only,533864,89450,9415,10499,28128,350210,46162
"American Indian, Alaskan Native Only",20850,6734,0,4851,0,9265,0
Asian only,149270,10804,0,3872,85269,38044,11281
Hawaiian/Pacific Islander Only,18635,5068,0,0,9283,4284,0
White-Black,22686,0,0,0,7997,0,14689
White-AI,41950,5552,0,4492,15235,3670,13001
White-Asian,12917,0,0,0,4914,8003,0
White-HP,0,0,0,0,0,0,0
Black-AI,0,0,0,0,0,0,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,11184,0,11184,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Montana,862018,76323,3999,18856,35525,606798,120517
White only,793881,72064,3999,13173,28313,571243,105089
Black only,5733,0,0,454,1593,2442,1244
"American Indian, Alaskan Native Only",30060,3553,0,1522,1657,17068,6260
Asian only,10613,0,0,1375,3140,4381,1717
Hawaiian/Pacific Islander Only,3369,0,0,0,822,1382,1165
White-Black,2192,0,0,606,0,760,826
White-AI,11806,0,0,0,0,8365,3441
White-Asian,2638,706,0,0,0,1157,775
White-HP,1726,0,0,1726,0,0,0
Black-AI,0,0,0,0,0,0,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Nebraska,1494455,222861,11210,17160,125621,892482,225121
White only,1349093,191305,11210,17160,94252,825969,209197
Black only,81699,20155,0,0,10879,43645,7020
"American Indian, Alaskan Native Only",21704,6979,0,0,4779,7965,1981
Asian only,26143,4422,0,0,9508,9037,3176
Hawaiian/Pacific Islander Only,3580,0,0,0,1834,0,1746
White-Black,0,0,0,0,0,0,0
White-AI,7830,0,0,0,2001,3828,2001
White-Asian,2368,0,0,0,2368,0,0
White-HP,0,0,0,0,0,0,0
Black-AI,2038,0,0,0,0,2038,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Nevada,2493332,362423,39552,40875,295467,1351411,403604
White only,1749721,240131,23656,22575,189035,1012565,261759
Black only,243949,39151,6581,3513,13050,135657,45997
"American Indian, Alaskan Native Only",88806,20842,2317,6632,7772,16999,34244
Asian only,236673,33772,0,5632,40583,135006,21680
Hawaiian/Pacific Islander Only,36063,0,0,0,6560,12432,17071
White-Black,23864,8296,0,0,0,8236,7332
White-AI,86960,18421,0,2523,38467,18873,8676
White-Asian,14467,1810,3008,0,0,9649,0
White-HP,2065,0,2065,0,0,0,0
Black-AI,1994,0,0,0,0,1994,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,6845,0,0,0,0,0,6845
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,1925,0,1925,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total New Hampshire,1132715,79976,1509,22125,55258,797363,176484
White only,1060845,76001,1509,19944,44965,770665,147761
Black only,19806,1921,0,0,0,4126,13759
"American Indian, Alaskan Native Only",1234,0,0,0,0,0,1234
Asian only,27245,2054,0,2181,10293,7950,4767
Hawaiian/Pacific Islander Only,7447,0,0,0,0,2718,4729
White-Black,11305,0,0,0,0,9526,1779
White-AI,3891,0,0,0,0,1436,2455
White-Asian,0,0,0,0,0,0,0
White-HP,0,0,0,0,0,0,0
Black-AI,942,0,0,0,0,942,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total New Jersey,7084642,341512,125174,69604,1162915,4642593,742844
White only,5079437,280880,66096,33508,619388,3543902,535663
Black only,1029285,49079,43770,30744,177733,607493,120466
"American Indian, Alaskan Native Only",0,0,0,0,0,0,0
Asian only,853502,11553,15308,5352,328842,409740,82707
Hawaiian/Pacific Islander Only,10264,0,0,0,0,6256,4008
White-Black,69960,0,0,0,32212,37748,0
White-AI,11051,0,0,0,0,11051,0
White-Asian,11043,0,0,0,4740,6303,0
White-HP,0,0,0,0,0,0,0
Black-AI,16522,0,0,0,0,16522,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,3578,0,0,0,0,3578,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total New Mexico,1653189,160356,33348,31859,154641,937773,335212
White only,1371344,134438,32289,27187,122043,811746,243641
Black only,34974,0,0,0,3198,20593,11183
"American Indian, Alaskan Native Only",169670,19838,1059,4672,7883,63495,72723
Asian only,29392,0,0,0,14167,12359,2866
Hawaiian/Pacific Islander Only,1791,0,0,0,0,1791,0
White-Black,7199,0,0,0,0,3470,3729
White-AI,28920,6080,0,0,7350,14420,1070
White-Asian,5559,0,0,0,0,5559,0
White-HP,0,0,0,0,0,0,0
Black-AI,0,0,0,0,0,0,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,4340,0,0,0,0,4340,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total New York,15606588,1754908,338234,224593,2309010,8607639,2372204
White only,10888447,1286452,216122,88981,1333555,6442595,1520742
Black only,2655285,237858,80134,83949,326143,1456787,470414
"American Indian, Alaskan Native Only",175224,25813,0,0,27243,50874,71294
Asian only,1566014,177267,35714,41591,545355,529638,236449
Hawaiian/Pacific Islander Only,32435,6234,0,0,0,11470,14731
White-Black,130363,9212,6264,0,48062,29308,37517
White-AI,31156,0,0,0,0,31156,0
White-Asian,58898,0,0,10072,17117,21324,10385
White-HP,0,0,0,0,0,0,0
Black-AI,15573,0,0,0,0,15573,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,5913,5913,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,11535,0,0,0,11535,0,0
W-B-AI,6159,6159,0,0,0,0,0
W-B-A,29586,0,0,0,0,18914,10672
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total North Carolina,8392510,1203962,126418,99191,999920,4780777,1182242
White only,5944343,788723,69373,73189,755479,3375519,882060
Black only,1815252,324651,43973,13305,103247,1085946,244130
"American Indian, Alaskan Native Only",171391,29528,8093,4973,28337,88665,11795
Asian only,334354,44273,4979,0,112857,157147,15098
Hawaiian/Pacific Islander Only,4772,0,0,0,0,0,4772
White-Black,28324,7876,0,7724,0,12724,0
White-AI,37126,3723,0,0,0,17298,16105
White-Asian,21716,0,0,0,0,13434,8282
White-HP,0,0,0,0,0,0,0
Black-AI,3489,0,0,0,0,3489,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,5460,0,0,0,0,5460,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,5188,5188,0,0,0,0,0
W-AI-HP,7587,0,0,0,0,7587,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,13508,0,0,0,0,13508,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total North Dakota,587272,62310,4974,3031,31781,372197,112979
White only,515978,48544,4974,3031,21593,350890,86946
Black only,13376,2109,0,0,5199,1910,4158
"American Indian, Alaskan Native Only",35871,5946,0,0,1086,12440,16399
Asian only,10187,4107,0,0,3072,2685,323
Hawaiian/Pacific Islander Only,918,918,0,0,0,0,0
White-Black,742,0,0,0,0,0,742
White-AI,7255,686,0,0,0,3475,3094
White-Asian,693,0,0,0,0,0,693
White-HP,797,0,0,0,0,797,0
Black-AI,831,0,0,0,831,0,0
Black-Asian,624,0,0,0,0,0,624
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Ohio,9270132,658834,196772,119709,532178,6121686,1640953
White only,7649276,524231,155396,86543,353920,5215179,1314007
Black only,1127763,86307,31153,33166,84256,677790,215091
"American Indian, Alaskan Native Only",28519,6596,2907,0,0,13081,5935
Asian only,237809,27109,3867,0,70960,95970,39903
Hawaiian/Pacific Islander Only,3449,0,3449,0,0,0,0
White-Black,82241,0,0,0,17371,36844,28026
White-AI,63721,8035,0,0,0,33726,21960
White-Asian,25236,0,0,0,0,25236,0
White-HP,0,0,0,0,0,0,0
Black-AI,29543,6556,0,0,5671,17316,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,22575,0,0,0,0,6544,16031
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Oklahoma,3056752,315256,36529,19270,256166,1632758,796773
White only,2378369,221927,24548,13360,204513,1347565,566456
Black only,233321,43178,0,0,15655,107857,66631
"American Indian, Alaskan Native Only",274624,31978,9331,2109,10638,131381,89187
Asian only,28804,5414,2650,0,9787,4084,6869
Hawaiian/Pacific Islander Only,11625,0,0,0,7365,4260,0
White-Black,17227,0,0,0,2644,1997,12586
White-AI,82163,0,0,3801,5564,28235,44563
White-Asian,14423,10989,0,0,0,0,3434
White-HP,4935,0,0,0,0,4935,0
Black-AI,9339,1770,0,0,0,2444,5125
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,1922,0,0,0,0,0,1922
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Oregon,3461793,309094,33188,47100,222561,2398921,450929
White only,3025926,275442,33188,40173,152091,2188498,336534
Black only,81939,16531,0,0,6019,38862,20527
"American Indian, Alaskan Native Only",39741,0,0,4072,0,18826,16843
Asian only,145585,5389,0,0,36846,66302,37048
Hawaiian/Pacific Islander Only,38416,6594,0,0,11192,7626,13004
White-Black,10759,0,0,0,0,10759,0
White-AI,53718,2156,0,0,6027,36880,8655
White-Asian,40907,2982,0,2855,10386,13278,11406
White-HP,15998,0,0,0,0,9086,6912
Black-AI,0,0,0,0,0,0,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,2200,0,0,0,0,2200,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,2934,0,0,0,0,2934,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,3670,0,0,0,0,3670,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Pennsylvania,10302071,929075,100645,135972,683831,6752197,1700351
White only,8769027,730933,81384,107293,446576,5875011,1527830
Black only,1138653,108495,19261,19453,160253,689486,141705
"American Indian, Alaskan Native Only",16029,0,0,0,0,12471,3558
Asian only,238702,74860,0,4470,66090,84526,8756
Hawaiian/Pacific Islander Only,0,0,0,0,0,0,0
White-Black,108128,14787,0,4756,10912,67535,10138
White-AI,7789,0,0,0,0,7789,0
White-Asian,15379,0,0,0,0,15379,0
White-HP,8364,0,0,0,0,0,8364
Black-AI,0,0,0,0,0,0,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Rhode Island,867870,72399,15388,21934,92710,512239,153200
White only,765575,68304,15388,19091,67534,459931,135327
Black only,62405,0,0,2843,9635,36814,13113
"American Indian, Alaskan Native Only",3296,1108,0,0,1108,1080,0
Asian only,26788,2987,0,0,12579,9790,1432
Hawaiian/Pacific Islander Only,0,0,0,0,0,0,0
White-Black,8932,0,0,0,1854,3750,3328
White-AI,874,0,0,0,0,874,0
White-Asian,0,0,0,0,0,0,0
White-HP,0,0,0,0,0,0,0
Black-AI,0,0,0,0,0,0,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total South Carolina,4150714,611262,82624,28791,270850,2461006,696181
White only,2932388,354839,52024,8202,195469,1843781,478073
Black only,1071492,244958,30600,15010,57604,547731,175589
"American Indian, Alaskan Native Only",32628,3875,0,5579,0,3267,19907
Asian only,53840,0,0,0,13667,34439,5734
Hawaiian/Pacific Islander Only,0,0,0,0,0,0,0
White-Black,9654,2426,0,0,4110,0,3118
White-AI,25559,5164,0,0,0,9578,10817
White-Asian,16652,0,0,0,0,16652,0
White-HP,0,0,0,0,0,0,0
Black-AI,5558,0,0,0,0,5558,0
Black-Asian,2943,0,0,0,0,0,2943
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total South Dakota,680821,101515,15320,7339,31640,379359,145648
White only,602003,97751,11470,6706,17615,349667,118794
Black only,19397,3015,1660,0,5531,3979,5212
"American Indian, Alaskan Native Only",30249,0,0,633,2728,11557,15331
Asian only,11944,749,0,0,2891,3557,4747
Hawaiian/Pacific Islander Only,2084,0,0,0,902,1182,0
White-Black,0,0,0,0,0,0,0
White-AI,8145,0,0,0,1158,5423,1564
White-Asian,6184,0,2190,0,0,3994,0
White-HP,0,0,0,0,0,0,0
Black-AI,0,0,0,0,0,0,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,815,0,0,0,815,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Tennessee,5460305,391673,31602,92147,421406,3346024,1177453
White only,4356683,312732,31602,53818,339909,2678567,940055
Black only,882724,48461,0,38329,30650,590243,175041
"American Indian, Alaskan Native Only",10411,4619,0,0,0,3141,2651
Asian only,104860,5350,0,0,40205,34077,25228
Hawaiian/Pacific Islander Only,2647,0,0,0,0,2647,0
White-Black,27890,3143,0,0,5227,3965,15555
White-AI,57306,17368,0,0,5415,15600,18923
White-Asian,11658,0,0,0,0,11658,0
White-HP,0,0,0,0,0,0,0
Black-AI,6126,0,0,0,0,6126,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
