Demographics- race of respondent (PTDTRACE),Total,No Response,Refused,Don't Know,Not in Universe,Yes,No
W-A-HP,4885,0,0,0,4885,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Colorado,4647417,826963,57225,30647,447846,2837971,446765
White only,4116075,710485,57225,30647,365516,2607029,345173
Black only,186306,53960,0,0,4952,96285,31109
"American Indian, Alaskan Native Only",52290,12303,0,0,17739,22248,0
Asian only,154470,44223,0,0,39628,49789,20830
Hawaiian/Pacific Islander Only,5876,0,0,0,0,5876,0
White-Black,11123,0,0,0,0,11123,0
White-AI,96713,5992,0,0,20011,25615,45095
White-Asian,14327,0,0,0,0,9769,4558
White-HP,4804,0,0,0,0,4804,0
Black-AI,0,0,0,0,0,0,0
Black-Asian,5433,0,0,0,0,5433,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Connecticut,2888243,353448,10161,43894,364687,1683176,432877
White only,2289035,251358,10161,36021,247814,1391631,352050
Black only,326961,51122,0,7873,45249,184653,38064
"American Indian, Alaskan Native Only",9066,9066,0,0,0,0,0
Asian only,227486,36032,0,0,67695,90715,33044
Hawaiian/Pacific Islander Only,17528,0,0,0,0,13481,4047
White-Black,6777,0,0,0,3929,0,2848
White-AI,11390,5870,0,0,0,2696,2824
White-Asian,0,0,0,0,0,0,0
White-HP,0,0,0,0,0,0,0
Black-AI,0,0,0,0,0,0,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Delaware,790600,68508,22522,15132,69004,488052,127382
White only,559207,49387,18441,7421,39993,347814,96151
Black only,175457,18240,4081,7005,11679,105772,28680
"American Indian, Alaskan Native Only",5929,0,0,0,1434,4495,0
Asian only,31466,881,0,706,10498,18375,1006
Hawaiian/Pacific Islander Only,2179,0,0,0,2179,0,0
White-Black,6598,0,0,0,2424,3109,1065
White-AI,0,0,0,0,0,0,0
White-Asian,4632,0,0,0,0,4632,0
White-HP,999,0,0,0,0,999,0
Black-AI,1190,0,0,0,0,710,480
Black-Asian,797,0,0,0,797,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,2146,0,0,0,0,2146,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
